constraint_number;derived_constraint_number;constraint_description;derived_constraint_notes;type;points;min;max;maximum_sequential_matches;interim_weeks;begin_date;end_date;teama_id;teamb_id
1;10001;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;8/19/2017;8/19/2017;;Miami FC
1;10002;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;10/7/2017;10/7/2017;;Carolina Railhawks
1;10003;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;7/29/2017;7/29/2017;;Miami FC
1;10004;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;9/2/2017;9/2/2017;;Indy Eleven
1;10005;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;8/19/2017;8/19/2017;;Indy Eleven
1;10006;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;10/7/2017;10/7/2017;;FC Edmonton
1;10007;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;10/21/2017;10/21/2017;;Carolina Railhawks
1;10008;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;9/30/2017;9/30/2017;;Carolina Railhawks
1;10009;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;9/2/2017;9/2/2017;;Carolina Railhawks
1;10010;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;8/19/2017;8/19/2017;;Carolina Railhawks
1;10011;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;8/5/2017;8/5/2017;;Carolina Railhawks
1;10012;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;8/12/2017;8/12/2017;;Miami FC
1;10013;Away Requests;;DerivedConstraint::AwayRequest;-500;;;;;9/16/2017;9/16/2017;;Carolina Railhawks
1;10001;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/21/2017;10/21/2017;San Francisco Deltas;
1;10002;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/16/2017;9/16/2017;San Francisco Deltas;
1;10003;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/2/2017;9/2/2017;San Francisco Deltas;
1;10004;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;7/29/2017;7/29/2017;San Francisco Deltas;
1;10005;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/7/2017;10/14/2017;Puerto Rico FC;
1;10006;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/2/2017;9/2/2017;Puerto Rico FC;
1;10007;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/28/2017;10/28/2017;Jacksonville Armada FC;
1;10008;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/30/2017;10/7/2017;Jacksonville Armada FC;
1;10009;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/16/2017;9/16/2017;Jacksonville Armada FC;
1;10010;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/19/2017;9/2/2017;Jacksonville Armada FC;
1;10011;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/26/2017;8/26/2017;Indy Eleven;
1;10012;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/7/2017;10/7/2017;San Francisco Deltas;
1;10013;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/12/2017;8/12/2017;San Francisco Deltas;
1;10014;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/26/2017;8/26/2017;New York Cosmos;
1;10015;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/5/2017;8/12/2017;New York Cosmos;
1;10016;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/14/2017;10/14/2017;Miami FC;
1;10017;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;10/28/2017;10/28/2017;Indy Eleven;
1;10018;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/26/2017;9/2/2017;FC Edmonton;
1;10019;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/5/2017;8/5/2017;FC Edmonton;
1;10020;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/30/2017;9/30/2017;San Francisco Deltas;
1;10021;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;8/5/2017;8/5/2017;Jacksonville Armada FC;
1;10022;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;7/29/2017;7/29/2017;Puerto Rico FC;
1;10023;Home Blackouts;;DerivedConstraint::HomeBlackout;-999;;;;;9/9/2017;9/9/2017;Miami FC;
2;20001;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;10/28/2017;10/28/2017;San Francisco Deltas;
2;20002;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;10/14/2017;10/14/2017;San Francisco Deltas;
2;20003;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;9/9/2017;9/9/2017;San Francisco Deltas;
2;20004;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;8/26/2017;8/26/2017;San Francisco Deltas;
2;20005;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;8/19/2017;8/19/2017;San Francisco Deltas;
2;20006;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;8/5/2017;8/5/2017;San Francisco Deltas;
2;20007;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;9/23/2017;9/23/2017;San Francisco Deltas;
2;20008;Must Host;;DerivedConstraint::HomeRequest;-999;;;;;7/29/2017;7/29/2017;Carolina Railhawks;
3;30001;Teams must play a total of 16 matches in the Fall;;DerivedConstraint::TeamMatchesTotalCount;-999;16;16;;;;;;
4;40001;Teams must play 8 home matches in the Fall;;DerivedConstraint::TeamMatchesHomeCount;-999;7;8;;;7/22/2017;10/28/2017;;
5;50001;Teams must play 8 away matches in the Fall;;DerivedConstraint::TeamMatchesAwayCount;-999;7;8;;;7/22/2017;10/28/2017;;
6;60001;Every team must play every team 2x in the Fall (once home and once away);;DerivedConstraint::MatchupRequest;-999;2;3;;;7/29/2017;10/28/2017;Jacksonville Armada FC;Miami FC
6;60002;Every team must play every team 2x in the Fall (once home and once away);;DerivedConstraint::MatchupRequest;-999;2;3;;;7/29/2017;10/28/2017;Carolina Railhawks;San Francisco Deltas
6;60003;Every team must play every team 2x in the Fall (once home and once away);;DerivedConstraint::MatchupRequest;-999;2;3;;;7/29/2017;10/28/2017;Carolina Railhawks;Indy Eleven
6;60004;Every team must play every team 2x in the Fall (once home and once away);;DerivedConstraint::MatchupRequest;-999;2;3;;;7/29/2017;10/28/2017;Carolina Railhawks;Jacksonville Armada FC
